Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-1039.3367,446.43066,-565.2064,-2119.0044,141.4,0,,,,,,,,
,,,,,94,-101.4798,95,,,,,,
,,,,,166,-106.42366,72,,,,,,
,,,,,249,-71.66645,83,,,,,,
,,,,,334,-72.9093,85,,,,,,
,,,,,414,-196.76218,80,,,,,,
,,,,,542,-149.59152,128,,,,,,
,,,,,668,-64.57596,126,,,,,,
,,,,,763,-408.41956,95,,,,,,
,,,,,876,-249.56601,113,,,,,,
,,,,,973,-109.96884,97,,,,,,
,,,,,1053,-217.70834,80,,,,,,
,,,,,1132,-208.93826,79,,,,,,
,,,,,1207,-310.2754,75,,,,,,
,,,,,1319,-144.96275,112,,,,,,
,,,,,1429,-123.69742,110,,,,,,
,,,,,1491,-100.01123,62,,,,,,
,,,,,1552,-63.90668,61,,,,,,
,,,,,1631,-227.49406,79,,,,,,
,,,,,1692,-128.41216,61,,,,,,
,,,,,1799,-118.583565,107,,,,,,
,,,,,1857,-78.700134,58,,,,,,
,,,,,1931,-102.20395,74,,,,,,
,,,,,2021,-115.06915,90,,,,,,
,,,,,2119,-290.9023,98,,,,,,
,,,,,2215,-99.0006,96,,,,,,
,,,,,2283,-258.7719,68,,,,,,
,,,,,2378,-343.7207,95,,,,,,
,,,,,2461,-152.90623,83,,,,,,
,,,,,2568,-114.60025,107,,,,,,
,,,,,2644,-152.36606,76,,,,,,
,,,,,2795,-322.2934,151,,,,,,
,,,,,2894,-303.48627,99,,,,,,
,,,,,2971,-318.6977,77,,,,,,
,,,,,3032,-122.50429,61,,,,,,
,,,,,3105,-302.7141,73,,,,,,
,,,,,3201,-180.55812,96,,,,,,
,,,,,3274,-73.01716,73,,,,,,
,,,,,3361,-217.55176,87,,,,,,
,,,,,3472,-534.81055,111,,,,,,
,,,,,3565,-93.76241,93,,,,,,
,,,,,3633,-277.61386,68,,,,,,
,,,,,3708,-119.71971,75,,,,,,
,,,,,3770,-124.93553,62,,,,,,
,,,,,3854,-288.6146,84,,,,,,
,,,,,3949,-92.64197,95,,,,,,
,,,,,4026,-113.34946,77,,,,,,
,,,,,4113,-440.68542,87,,,,,,
,,,,,4196,-355.9621,83,,,,,,
,,,,,4279,-52.324623,83,,,,,,
,,,,,4379,-140.47572,100,,,,,,
,,,,,4449,-82.77777,70,,,,,,
,,,,,4506,-92.89369,57,,,,,,
,,,,,4604,-382.92023,98,,,,,,
,,,,,4724,-461.1596,120,,,,,,
,,,,,4809,-397.57285,85,,,,,,
,,,,,4887,-349.62103,78,,,,,,
,,,,,5013,-143.58662,126,,,,,,
,,,,,5097,-199.14526,84,,,,,,
,,,,,5213,-178.1227,116,,,,,,
,,,,,5315,-143.09433,102,,,,,,
,,,,,5389,-100.79173,74,,,,,,
,,,,,5485,-211.2632,96,,,,,,
,,,,,5584,-138.30008,99,,,,,,
,,,,,5717,-453.00122,133,,,,,,
,,,,,5826,-119.99295,109,,,,,,
,,,,,5885,-98.96756,59,,,,,,
,,,,,5984,-193.9004,99,,,,,,
,,,,,6104,-45.966965,120,,,,,,
,,,,,6251,-233.18593,147,,,,,,
,,,,,6315,-156.39679,64,,,,,,
,,,,,6416,-97.35529,101,,,,,,
,,,,,6520,-174.38358,104,,,,,,
,,,,,6649,-365.7138,129,,,,,,
,,,,,6728,-226.92813,79,,,,,,
,,,,,6837,-412.1168,109,,,,,,
,,,,,6937,-58.40311,100,,,,,,
,,,,,7030,-103.21924,93,,,,,,
,,,,,7135,-114.11655,105,,,,,,
,,,,,7252,-208.90033,117,,,,,,
,,,,,7336,-123.707825,84,,,,,,
,,,,,7403,-66.99883,67,,,,,,
,,,,,7512,-346.1531,109,,,,,,
,,,,,7631,-194.09375,119,,,,,,
,,,,,7722,-363.38672,91,,,,,,
,,,,,7835,-207.88931,113,,,,,,
,,,,,7915,-229.21672,80,,,,,,
,,,,,8056,-114.86211,141,,,,,,
,,,,,8126,-132.5583,70,,,,,,
,,,,,8247,-196.004,121,,,,,,
,,,,,8380,-345.02084,133,,,,,,
,,,,,8463,-123.66461,83,,,,,,
,,,,,8530,-86.45626,67,,,,,,
,,,,,8628,-345.21936,98,,,,,,
,,,,,8717,-264.22223,89,,,,,,
,,,,,8820,-409.6577,103,,,,,,
,,,,,8946,-123.25939,126,,,,,,
,,,,,9027,-341.3501,81,,,,,,
,,,,,9134,-213.79788,107,,,,,,
,,,,,9253,-64.527435,119,,,,,,
,,,,,9341,-442.5966,88,,,,,,
,,,,,9446,-154.53201,105,,,,,,
,,,,,9527,-112.29209,81,,,,,,
,,,,,9615,-467.45407,88,,,,,,
,,,,,9678,-166.77382,63,,,,,,
,,,,,9754,-167.24556,76,,,,,,
,,,,,9833,-83.24798,79,,,,,,
,,,,,9897,-354.546,64,,,,,,
