Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3109,34.0,34,,,,,,
,,,,,3127,18.0,18,,,,,,
,,,,,3182,55.0,55,,,,,,
,,,,,3206,24.0,24,,,,,,
,,,,,3218,12.0,12,,,,,,
,,,,,3231,13.0,13,,,,,,
,,,,,3251,20.0,20,,,,,,
,,,,,3293,42.0,42,,,,,,
,,,,,3305,12.0,12,,,,,,
,,,,,3347,42.0,42,,,,,,
,,,,,3364,17.0,17,,,,,,
,,,,,3384,20.0,20,,,,,,
,,,,,3397,13.0,13,,,,,,
,,,,,3432,35.0,35,,,,,,
,,,,,3478,46.0,46,,,,,,
,,,,,3494,16.0,16,,,,,,
,,,,,3512,18.0,18,,,,,,
,,,,,3548,36.0,36,,,,,,
,,,,,3604,56.0,56,,,,,,
,,,,,3617,13.0,13,,,,,,
,,,,,3642,25.0,25,,,,,,
,,,,,3653,11.0,11,,,,,,
,,,,,3684,31.0,31,,,,,,
,,,,,3702,18.0,18,,,,,,
,,,,,3714,12.0,12,,,,,,
,,,,,3726,12.0,12,,,,,,
,,,,,3742,16.0,16,,,,,,
,,,,,3752,10.0,10,,,,,,
,,,,,3779,27.0,27,,,,,,
,,,,,3820,41.0,41,,,,,,
,,,,,3837,17.0,17,,,,,,
,,,,,3859,22.0,22,,,,,,
,,,,,3909,50.0,50,,,,,,
,,,,,3921,12.0,12,,,,,,
,,,,,3955,34.0,34,,,,,,
,,,,,3972,17.0,17,,,,,,
,,,,,3985,13.0,13,,,,,,
,,,,,3997,12.0,12,,,,,,
,,,,,4000,,,0.0796591266989708,2.9974024295806885,3.006467342376709,0.3189220130443573,0.88,0.0005
,,,,,4018,21.0,21,,,,,,
,,,,,4116,98.0,98,,,,,,
,,,,,4161,45.0,45,,,,,,
,,,,,4183,22.0,22,,,,,,
,,,,,4263,80.0,80,,,,,,
,,,,,4286,23.0,23,,,,,,
,,,,,4306,20.0,20,,,,,,
,,,,,4320,14.0,14,,,,,,
,,,,,4363,43.0,43,,,,,,
,,,,,4427,64.0,64,,,,,,
,,,,,4481,54.0,54,,,,,,
,,,,,4561,80.0,80,,,,,,
,,,,,4590,29.0,29,,,,,,
,,,,,4612,22.0,22,,,,,,
,,,,,4653,41.0,41,,,,,,
,,,,,4665,12.0,12,,,,,,
,,,,,4680,15.0,15,,,,,,
,,,,,4714,34.0,34,,,,,,
,,,,,4765,51.0,51,,,,,,
,,,,,4779,14.0,14,,,,,,
,,,,,4812,33.0,33,,,,,,
,,,,,4831,19.0,19,,,,,,
,,,,,4844,13.0,13,,,,,,
,,,,,4871,27.0,27,,,,,,
,,,,,4904,33.0,33,,,,,,
,,,,,4975,71.0,71,,,,,,
,,,,,4994,19.0,19,,,,,,
325.7,42.123745,440.0,296.0,325.7,5000,,,0.12706921994686127,3.803680419921875,3.781714677810669,0.2835320234298706,0.85,0.0005
,,,,,5015,21.0,21,,,,,,
,,,,,5043,28.0,28,,,,,,
,,,,,5067,24.0,24,,,,,,
,,,,,5115,48.0,48,,,,,,
,,,,,5128,13.0,13,,,,,,
,,,,,5148,20.0,20,,,,,,
,,,,,5190,42.0,42,,,,,,
,,,,,5204,14.0,14,,,,,,
,,,,,5247,43.0,43,,,,,,
,,,,,5261,14.0,14,,,,,,
,,,,,5288,27.0,27,,,,,,
,,,,,5327,39.0,39,,,,,,
,,,,,5373,46.0,46,,,,,,
,,,,,5392,19.0,19,,,,,,
,,,,,5409,17.0,17,,,,,,
,,,,,5440,31.0,31,,,,,,
,,,,,5548,108.0,108,,,,,,
,,,,,5602,54.0,54,,,,,,
,,,,,5627,25.0,25,,,,,,
,,,,,5665,38.0,38,,,,,,
,,,,,5702,37.0,37,,,,,,
,,,,,5726,24.0,24,,,,,,
,,,,,5755,29.0,29,,,,,,
,,,,,5777,22.0,22,,,,,,
,,,,,5787,10.0,10,,,,,,
,,,,,5825,38.0,38,,,,,,
,,,,,5838,13.0,13,,,,,,
,,,,,5868,30.0,30,,,,,,
,,,,,5893,25.0,25,,,,,,
,,,,,5917,24.0,24,,,,,,
,,,,,5929,12.0,12,,,,,,
,,,,,5955,26.0,26,,,,,,
,,,,,5977,22.0,22,,,,,,
,,,,,5990,13.0,13,,,,,,
,,,,,6000,,,0.058888714760541916,4.801934719085693,4.759509086608887,0.5271405577659607,0.82,0.0005
,,,,,6014,24.0,24,,,,,,
