Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,13376,-55.06795,94,,,,,,
,,,,,13512,-150.46274,136,,,,,,
,,,,,13592,9.936661,80,,,,,,
,,,,,13696,-369.38367,104,,,,,,
,,,,,13845,-62.109486,149,,,,,,
,,,,,13968,-52.40195,123,,,,,,
,,,,,14078,-376.2782,110,,,,,,
,,,,,14195,-63.53093,117,,,,,,
,,,,,14306,-98.66324,111,,,,,,
,,,,,14390,-326.25357,84,,,,,,
,,,,,14497,-356.60532,107,,,,,,
,,,,,14626,-406.81546,129,,,,,,
,,,,,14717,-311.3529,91,,,,,,
,,,,,14793,-172.4025,76,,,,,,
,,,,,14900,-110.63648,107,,,,,,
,,,,,14977,-110.67438,77,,,,,,
,,,,,15056,-226.0329,79,,,,,,
,,,,,15136,-210.43358,80,,,,,,
,,,,,15249,-340.3069,113,,,,,,
,,,,,15329,-270.50668,80,,,,,,
,,,,,15440,-136.82372,111,,,,,,
,,,,,15565,-240.1944,125,,,,,,
,,,,,15683,-359.29263,118,,,,,,
,,,,,15749,-102.57475,66,,,,,,
,,,,,15849,-121.73043,100,,,,,,
,,,,,15949,-492.25092,100,,,,,,
,,,,,16019,-240.61504,70,,,,,,
,,,,,16119,-291.83337,100,,,,,,
,,,,,16184,-141.9816,65,,,,,,
,,,,,16279,-423.67856,95,,,,,,
,,,,,16344,-74.24805,65,,,,,,
,,,,,16455,-76.18958,111,,,,,,
,,,,,16552,-189.19205,97,,,,,,
,,,,,16647,-291.88348,95,,,,,,
,,,,,16724,-192.82208,77,,,,,,
,,,,,16814,-90.14869,90,,,,,,
,,,,,16917,-142.8347,103,,,,,,
,,,,,17002,-140.38274,85,,,,,,
,,,,,17065,-30.883522,63,,,,,,
,,,,,17187,-424.00635,122,,,,,,
,,,,,17261,-190.68951,74,,,,,,
,,,,,17344,-205.77101,83,,,,,,
,,,,,17468,-67.09839,124,,,,,,
,,,,,17573,-322.47632,105,,,,,,
,,,,,17667,-214.03479,94,,,,,,
,,,,,17765,-142.24295,98,,,,,,
,,,,,17887,-319.5261,122,,,,,,
,,,,,18006,-170.64078,119,,,,,,
,,,,,18139,-304.15045,133,,,,,,
,,,,,18248,-197.50072,109,,,,,,
,,,,,18315,-104.990875,67,,,,,,
,,,,,18413,-282.99915,98,,,,,,
,,,,,18500,-261.3785,87,,,,,,
,,,,,18573,-93.26393,73,,,,,,
,,,,,18691,-555.1644,118,,,,,,
