Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-189.19666,93.24086,-93.136215,-463.7037,87.43478260869566,-143.56514,81.81163,-26.74971,-372.8951,86.95652173913044,-35.872257232666016,8290.3115234375,2000,11.229448795318604,-143.56514,0
-158.4794,69.9195,-66.661575,-338.7198,87.56521739130434,-185.89935,109.50216,12.77668,-422.76227,99.0952380952381,-37.62013244628906,10617.5615234375,4081,18.797786474227905,,1
-165.95085,114.67726,23.98996,-438.3121,93.31818181818181,-200.24149,113.76628,1.6151047,-405.4324,90.3913043478261,-43.81035614013672,13413.79296875,6160,24.154435634613037,,2
-141.89638,107.05682,24.046135,-444.50232,88.52173913043478,-174.44652,91.79075,-28.045609,-390.9002,83.24,-37.71549987792969,9022.154296875,8241,29.606500387191772,,3
-172.62744,107.55628,-2.051834,-376.84607,89.08695652173913,-202.0963,129.38583,-72.23687,-517.8222,89.26086956521739,-40.99575424194336,13551.7607421875,10294,35.880619764328,,4
-176.88837,115.63835,-37.125225,-473.13977,90.9090909090909,-131.16057,73.20954,31.989594,-309.54538,87.20833333333333,-22.586994171142578,4285.99169921875,12387,45.47579765319824,,5
-139.4365,73.12968,-7.2016144,-342.92426,93.18181818181819,-136.33188,71.006065,-12.96711,-295.8321,87.52173913043478,-22.473609924316406,3980.665283203125,14400,50.95728421211243,,6
-156.6719,69.105446,-64.15398,-317.98944,91.72727272727273,-158.52527,82.22304,-27.608253,-341.87177,88.3913043478261,-26.476093292236328,5967.11328125,16433,57.15227270126343,,7
-133.53174,74.04446,-68.909195,-445.87476,93.45454545454545,-150.20366,81.082375,-33.761017,-349.03888,90.17391304347827,-22.56545639038086,4756.83056640625,18507,63.4629282951355,,8
-105.64852,42.849625,-41.039932,-193.90546,86.91666666666667,-124.64631,41.76886,-46.591763,-227.86937,96.66666666666667,-14.500161170959473,1730.80615234375,20537,68.40915846824646,,9
-112.51794,58.213196,6.0544357,-275.86575,92.95454545454545,-131.28487,56.58463,-62.384308,-246.06633,91.95454545454545,-15.130948066711426,2439.114013671875,22560,74.0838532447815,,10
-98.10175,54.93341,39.127655,-205.99385,92.45454545454545,-104.85821,67.351746,85.82042,-208.54587,161.69230769230768,-0.5111057758331299,2176.43896484375,24662,83.85157537460327,,11
-107.998116,38.11387,-55.791832,-225.95245,91.77272727272727,-139.99608,75.15867,-24.721436,-364.9494,96.28571428571429,-14.885549545288086,3584.571044921875,26684,89.46274638175964,,12
-158.81361,94.08514,-35.84861,-348.9802,106.42105263157895,-125.69865,59.59423,-40.56805,-335.80203,89.69565217391305,-12.892210006713867,2510.220947265625,28747,94.91955757141113,,13
-124.91427,70.61814,-45.724922,-267.30246,107.26315789473684,-136.74223,52.324867,-33.748466,-244.09074,95.0,-13.175384521484375,1838.88134765625,30837,100.72956967353821,,14
-96.72815,35.057182,-46.625114,-203.1464,94.5909090909091,-126.663536,54.261597,-52.846657,-275.1708,104.35,-8.158589363098145,1676.60400390625,32924,106.76312494277954,,15
-104.928604,67.50736,-25.721146,-294.5072,106.0,-82.87037,44.684467,26.00203,-196.53615,105.57894736842105,1.056956171989441,1042.6383056640625,34930,111.74898076057434,,16
-142.00822,79.02843,-31.33329,-322.9774,138.8,-92.988785,53.25392,12.149208,-210.9751,106.6842105263158,-0.8052113056182861,1271.5892333984375,36957,121.097647190094,,17
-84.26424,64.9677,24.368134,-259.56638,128.1875,-111.50547,71.34241,-28.472145,-254.72055,129.375,-1.003150463104248,2054.822265625,39027,126.68156147003174,,18
-89.7962,58.781075,13.4014435,-203.67358,131.875,-88.21009,50.599983,-14.4346695,-235.08104,126.75,2.543369770050049,1151.2626953125,41055,132.2699818611145,,19
-84.216965,64.211876,-13.893608,-292.53964,125.3125,-71.43418,89.808685,64.54636,-340.0338,146.71428571428572,6.344693183898926,2536.9814453125,43109,137.968670129776,,20
-69.86565,79.00111,41.68699,-216.97748,155.15384615384616,-91.96365,73.975204,4.6746826,-277.57138,226.66666666666666,5.471218585968018,2057.554931640625,45149,144.60516667366028,,21
-81.96969,86.69297,18.613937,-328.99597,167.91666666666666,-76.37991,88.12855,34.81289,-278.94522,260.5,7.001884460449219,2592.924072265625,47233,153.7106602191925,,22
-192.10406,115.36433,-22.648243,-322.90314,253.5,-136.34311,76.72071,-33.243706,-292.36197,182.0,-1.5035984516143799,1286.6175537109375,49235,159.0311839580536,,23
-147.5947,116.547806,-14.601646,-361.96814,207.1,-156.71695,110.70707,-10.059607,-288.57227,299.14285714285717,1.598484754562378,2398.992431640625,51329,165.66491556167603,,24
-42.664146,45.198704,31.489925,-90.737755,585.0,-201.6633,83.94813,-77.3811,-307.05444,236.55555555555554,-3.7363202571868896,2338.141357421875,53458,172.59112286567688,,25
-89.92414,71.67833,24.47451,-177.98619,418.0,-181.63159,113.91561,-13.642678,-360.02542,212.7,-3.7369189262390137,2518.3916015625,55585,179.8104546070099,,26
-98.652855,82.687294,-4.2562795,-278.14294,191.8181818181818,-209.50436,149.9512,38.411655,-507.59683,235.0,-5.107957363128662,2409.00146484375,57700,189.7771065235138,,27
-74.47527,107.37626,57.130634,-277.32684,351.1666666666667,-135.76636,88.09644,0.1212616,-255.96655,213.1,0.0999593734741211,1058.124755859375,59831,197.09505820274353,,28
