Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,12926,-105.232285,108,,,,,,
,,,,,13031,-112.57449,105,,,,,,
,,,,,13199,-177.30255,168,,,,,,
,,,,,13328,-177.26752,129,,,,,,
,,,,,13469,-406.40164,141,,,,,,
,,,,,13548,-137.5304,79,,,,,,
,,,,,13633,-93.57078,85,,,,,,
,,,,,13729,-268.84714,96,,,,,,
,,,,,13805,-87.04204,76,,,,,,
,,,,,13908,-412.8249,103,,,,,,
,,,,,14007,-286.76608,99,,,,,,
,,,,,14117,-131.44615,110,,,,,,
,,,,,14203,-339.25616,86,,,,,,
,,,,,14333,-317.98013,130,,,,,,
,,,,,14407,-115.45757,74,,,,,,
,,,,,14561,-345.84943,154,,,,,,
,,,,,14670,-293.53564,109,,,,,,
,,,,,14748,-76.076385,78,,,,,,
,,,,,14868,-396.95657,120,,,,,,
,,,,,14936,-217.29004,68,,,,,,
,,,,,15021,-196.85197,85,,,,,,
,,,,,15092,-103.05753,71,,,,,,
,,,,,15186,-67.58602,94,,,,,,
,,,,,15293,-253.26523,107,,,,,,
,,,,,15370,-137.5817,77,,,,,,
,,,,,15489,-414.11087,119,,,,,,
,,,,,15604,-159.35193,115,,,,,,
,,,,,15699,-148.67587,95,,,,,,
,,,,,15766,-297.67188,67,,,,,,
,,,,,15841,-94.56989,75,,,,,,
,,,,,15945,-118.264206,104,,,,,,
,,,,,16059,-337.55902,114,,,,,,
,,,,,16159,-164.70157,100,,,,,,
,,,,,16243,-129.6694,84,,,,,,
,,,,,16373,-95.28521,130,,,,,,
,,,,,16462,-170.73184,89,,,,,,
,,,,,16536,-81.76975,74,,,,,,
,,,,,16626,-400.8466,90,,,,,,
,,,,,16730,-144.9238,104,,,,,,
,,,,,16834,-219.33199,104,,,,,,
,,,,,16929,-292.0573,95,,,,,,
,,,,,17016,-179.07762,87,,,,,,
,,,,,17131,28.221603,115,,,,,,
,,,,,17204,-82.80322,73,,,,,,
,,,,,17301,-232.97908,97,,,,,,
,,,,,17408,-158.67537,107,,,,,,
,,,,,17509,-281.23282,101,,,,,,
,,,,,17594,-383.472,85,,,,,,
,,,,,17661,-96.30867,67,,,,,,
,,,,,17784,-271.0432,123,,,,,,
,,,,,17910,-259.14203,126,,,,,,
,,,,,17988,-175.01697,78,,,,,,
,,,,,18060,-333.95203,72,,,,,,
,,,,,18156,-70.01685,96,,,,,,
,,,,,18253,-494.97302,97,,,,,,
,,,,,18330,-352.44043,77,,,,,,
,,,,,18415,-98.26315,85,,,,,,
,,,,,18518,-443.09253,103,,,,,,
,,,,,18600,-122.90604,82,,,,,,
,,,,,18667,-278.63898,67,,,,,,
,,,,,18767,-253.75735,100,,,,,,
,,,,,18842,-193.56142,75,,,,,,
,,,,,18927,-387.8998,85,,,,,,
,,,,,19055,-271.49014,128,,,,,,
,,,,,19209,-224.0288,154,,,,,,
,,,,,19282,-171.02768,73,,,,,,
,,,,,19371,-128.72496,89,,,,,,
,,,,,19448,-215.04785,77,,,,,,
,,,,,19537,4.1261597,89,,,,,,
,,,,,19682,-215.5379,145,,,,,,
,,,,,19754,-126.97707,72,,,,,,
,,,,,19863,-434.81955,109,,,,,,
-743.48627,212.88315,-435.90262,-1157.5806,116.8,20000,,,13.190237998962402,-0.05405522137880325,-1.3818424940109253,7.132248401641846,0.88,0.001
,,,,,20011,-385.03668,148,,,,,,
,,,,,20126,-285.13474,115,,,,,,
,,,,,20222,-93.87651,96,,,,,,
,,,,,20305,-127.91946,83,,,,,,
,,,,,20408,-218.96448,103,,,,,,
,,,,,20542,-138.11632,134,,,,,,
,,,,,20670,-14.732353,128,,,,,,
,,,,,20777,-251.84688,107,,,,,,
,,,,,20901,-260.46182,124,,,,,,
,,,,,20980,-227.88011,79,,,,,,
,,,,,21000,,,240.1712646484375,-1.6094810962677002,0.5043322443962097,85.2229232788086,0.874,0.001
,,,,,21115,-86.77364,135,,,,,,
,,,,,21211,-76.17314,96,,,,,,
,,,,,21356,-214.35925,145,,,,,,
,,,,,21467,-125.79804,111,,,,,,
,,,,,21565,-95.93513,98,,,,,,
,,,,,21695,-126.631615,130,,,,,,
,,,,,21784,-58.31611,89,,,,,,
,,,,,21924,20.907433,140,,,,,,
,,,,,22000,,,94.21650695800781,-1.9972965717315674,-3.4854934215545654,143.7873992919922,0.868,0.001
,,,,,22056,-359.39438,132,,,,,,
,,,,,22131,-56.623314,75,,,,,,
,,,,,22245,-182.66338,114,,,,,,
,,,,,22354,-77.91263,109,,,,,,
,,,,,22463,-245.89279,109,,,,,,
,,,,,22596,-62.939365,133,,,,,,
,,,,,22712,-217.91684,116,,,,,,
,,,,,22831,-123.04563,119,,,,,,
,,,,,22929,-120.33676,98,,,,,,
,,,,,23000,,,21.343294143676758,-0.5528622269630432,-0.6243607401847839,38.14224624633789,0.862,0.001
,,,,,23022,-230.97533,93,,,,,,
,,,,,23094,-34.636696,72,,,,,,
,,,,,23198,-148.44803,104,,,,,,
,,,,,23276,-101.50181,78,,,,,,
,,,,,23404,-84.38493,128,,,,,,
,,,,,23508,-187.22575,104,,,,,,
,,,,,23627,-270.64905,119,,,,,,
,,,,,23750,-152.89081,123,,,,,,
,,,,,23855,-171.50897,105,,,,,,
,,,,,23926,-177.40833,71,,,,,,
,,,,,23994,-76.578995,68,,,,,,
