Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2966,7.3455,9,,,,,,,,
,,,,,2990,17.720667,24,,,,,,,,
,,,,,3006,11.05156,16,,,,,,,,
,,,,,3030,26.843607,24,,,,,,,,
,,,,,3050,16.777157,20,,,,,,,,
,,,,,3064,9.67897,14,,,,,,,,
,,,,,3108,33.627922,44,,,,,,,,
,,,,,3128,12.224269,20,,,,,,,,
,,,,,3142,11.993322,14,,,,,,,,
,,,,,3159,13.043236,17,,,,,,,,
,,,,,3173,10.303162,14,,,,,,,,
,,,,,3193,21.449095,20,,,,,,,,
,,,,,3211,17.886564,18,,,,,,,,
,,,,,3262,68.80618,51,,,,,,,,
,,,,,3276,8.680998,14,,,,,,,,
,,,,,3291,11.946452,15,,,,,,,,
,,,,,3332,38.28827,41,,,,,,,,
,,,,,3344,10.540267,12,,,,,,,,
,,,,,3365,9.604992,21,,,,,,,,
,,,,,3386,21.577553,21,,,,,,,,
,,,,,3413,14.916326,27,,,,,,,,
,,,,,3436,15.308108,23,,,,,,,,
,,,,,3450,8.834807,14,,,,,,,,
,,,,,3496,58.84784,46,,,,,,,,
,,,,,3511,11.513445,15,,,,,,,,
,,,,,3524,9.399666,13,,,,,,,,
,,,,,3541,18.36431,17,,,,,,,,
,,,,,3559,12.203418,18,,,,,,,,
,,,,,3571,7.642293,12,,,,,,,,
,,,,,3589,7.495534,18,,,,,,,,
,,,,,3600,7.0517254,11,,,,,,,,
,,,,,3638,34.746216,38,,,,,,,,
,,,,,3674,27.788048,36,,,,,,,,
,,,,,3691,13.851335,17,,,,,,,,
,,,,,3715,14.871074,24,,,,,,,,
,,,,,3754,30.181938,39,,,,,,,,
,,,,,3768,9.33234,14,,,,,,,,
,,,,,3803,8.01754,35,,,,,,,,
,,,,,3819,14.555148,16,,,,,,,,
,,,,,3841,20.117245,22,,,,,,,,
,,,,,3851,7.323239,10,,,,,,,,
,,,,,3868,11.787292,17,,,,,,,,
,,,,,3888,16.136505,20,,,,,,,,
,,,,,3899,6.2761455,11,,,,,,,,
,,,,,3914,12.023849,15,,,,,,,,
,,,,,3929,8.559477,15,,,,,,,,
,,,,,3943,9.829077,14,,,,,,,,
,,,,,3966,10.689839,23,,,,,,,,
,,,,,3991,17.185057,25,,,,,,,,
,,,,,4022,14.23107,31,,,,,,,,
,,,,,4042,16.764706,20,,,,,,,,
,,,,,4052,5.8168116,10,,,,,,,,
,,,,,4066,8.801296,14,,,,,,,,
,,,,,4081,7.528211,15,,,,,,,,
,,,,,4104,16.049467,23,,,,,,,,
,,,,,4130,23.527327,26,,,,,,,,
,,,,,4151,13.06181,21,,,,,,,,
,,,,,4177,12.8065815,26,,,,,,,,
,,,,,4217,33.350693,40,,,,,,,,
,,,,,4232,13.366762,15,,,,,,,,
,,,,,4241,7.1736984,9,,,,,,,,
,,,,,4255,9.802409,14,,,,,,,,
,,,,,4274,15.683016,19,,,,,,,,
,,,,,4293,19.499374,19,,,,,,,,
,,,,,4317,25.54637,24,,,,,,,,
,,,,,4359,32.05917,42,,,,,,,,
,,,,,4421,91.62168,62,,,,,,,,
,,,,,4436,10.876943,15,,,,,,,,
,,,,,4451,10.99737,15,,,,,,,,
,,,,,4535,118.20573,84,,,,,,,,
,,,,,4547,10.715918,12,,,,,,,,
,,,,,4558,9.143934,11,,,,,,,,
,,,,,4578,17.693327,20,,,,,,,,
,,,,,4591,10.890762,13,,,,,,,,
,,,,,4653,81.86977,62,,,,,,,,
,,,,,4678,29.27489,25,,,,,,,,
,,,,,4694,8.453761,16,,,,,,,,
,,,,,4713,11.294483,19,,,,,,,,
,,,,,4728,7.948696,15,,,,,,,,
,,,,,4740,8.904533,12,,,,,,,,
,,,,,4755,15.16977,15,,,,,,,,
,,,,,4771,11.971671,16,,,,,,,,
,,,,,4784,12.03803,13,,,,,,,,
,,,,,4795,9.244512,11,,,,,,,,
,,,,,4863,97.35829,68,,,,,,,,
,,,,,4887,22.621645,24,,,,,,,,
,,,,,4904,16.002298,17,,,,,,,,
,,,,,4923,21.486769,19,,,,,,,,
,,,,,4956,40.404922,33,,,,,,,,
,,,,,4976,9.869299,20,,,,,,,,
,,,,,4999,20.518114,23,,,,,,,,
16.870491,8.2010765,39.739983,9.214528,21.1,5000,,,,,,,,,,
,,,,,5012,9.714066,13,,,,,,,,
,,,,,5029,12.435225,17,,,,,,,,
,,,,,5055,27.60824,26,,,,,,,,
,,,,,5066,7.594915,11,,,,,,,,
,,,,,5077,9.368169,11,,,,,,,,
,,,,,5102,16.015879,25,,,,,,,,
,,,,,5124,19.571356,22,,,,,,,,
,,,,,5162,27.846043,38,,,,,,,,
,,,,,5203,15.234331,41,,,,,,,,
,,,,,5234,18.969128,31,,,,,,,,
,,,,,5256,16.04649,22,,,,,,,,
,,,,,5274,16.598179,18,,,,,,,,
,,,,,5296,20.487385,22,,,,,,,,
,,,,,5318,7.5163937,22,,,,,,,,
,,,,,5334,13.414957,16,,,,,,,,
,,,,,5348,10.192557,14,,,,,,,,
,,,,,5368,14.961355,20,,,,,,,,
,,,,,5398,22.998419,30,,,,,,,,
,,,,,5412,12.50293,14,,,,,,,,
,,,,,5437,26.532238,25,,,,,,,,
,,,,,5454,18.002209,17,,,,,,,,
,,,,,5494,38.917103,40,,,,,,,,
,,,,,5513,20.151705,19,,,,,,,,
,,,,,5544,35.584526,31,,,,,,,,
,,,,,5563,21.41025,19,,,,,,,,
,,,,,5577,8.880696,14,,,,,,,,
,,,,,5595,15.67975,18,,,,,,,,
,,,,,5611,13.957977,16,,,,,,,,
,,,,,5628,10.398841,17,,,,,,,,
,,,,,5648,20.110645,20,,,,,,,,
,,,,,5663,10.14652,15,,,,,,,,
,,,,,5681,16.85613,18,,,,,,,,
,,,,,5695,12.615837,14,,,,,,,,
,,,,,5704,7.2812786,9,,,,,,,,
,,,,,5716,10.706428,12,,,,,,,,
,,,,,5728,11.73487,12,,,,,,,,
,,,,,5753,26.795164,25,,,,,,,,
,,,,,5787,38.665955,34,,,,,,,,
,,,,,5809,9.043616,22,,,,,,,,
,,,,,5825,10.849733,16,,,,,,,,
,,,,,5841,12.628037,16,,,,,,,,
,,,,,5854,10.86651,13,,,,,,,,
,,,,,5865,9.230609,11,,,,,,,,
,,,,,5883,18.914719,18,,,,,,,,
,,,,,5905,16.68992,22,,,,,,,,
,,,,,5930,31.71904,25,,,,,,,,
,,,,,5951,23.628819,21,,,,,,,,
,,,,,5980,22.125523,29,,,,,,,,
,,,,,6035,73.178444,55,,,,,,,,
,,,,,6050,14.04416,15,,,,,,,,
,,,,,6065,14.913156,15,,,,,,,,
,,,,,6101,29.73992,36,,,,,,,,
,,,,,6142,27.57312,41,,,,,,,,
,,,,,6197,67.63293,55,,,,,,,,
,,,,,6213,10.716912,16,,,,,,,,
,,,,,6243,21.763092,30,,,,,,,,
,,,,,6359,150.30334,116,,,,,,,,
,,,,,6393,12.128388,34,,,,,,,,
,,,,,6427,39.05009,34,,,,,,,,
,,,,,6462,49.205284,35,,,,,,,,
,,,,,6493,32.35391,31,,,,,,,,
,,,,,6510,14.4102955,17,,,,,,,,
,,,,,6549,51.855717,39,,,,,,,,
,,,,,6610,60.505318,61,,,,,,,,
,,,,,6633,13.838476,23,,,,,,,,
