Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2927,6.7583117,10,,,,,,,,
,,,,,2942,9.4973545,15,,,,,,,,
,,,,,2987,65.98706,45,,,,,,,,
,,,,,3012,15.473194,25,,,,,,,,
,,,,,3024,9.188782,12,,,,,,,,
,,,,,3044,13.292347,20,,,,,,,,
,,,,,3063,11.70122,19,,,,,,,,
,,,,,3077,10.145514,14,,,,,,,,
,,,,,3087,7.1064553,10,,,,,,,,
,,,,,3104,14.405969,17,,,,,,,,
,,,,,3121,9.985257,17,,,,,,,,
,,,,,3150,18.32515,29,,,,,,,,
,,,,,3167,10.40869,17,,,,,,,,
,,,,,3183,14.101266,16,,,,,,,,
,,,,,3208,15.420233,25,,,,,,,,
,,,,,3219,7.995883,11,,,,,,,,
,,,,,3239,17.218435,20,,,,,,,,
,,,,,3254,10.938748,15,,,,,,,,
,,,,,3267,9.483232,13,,,,,,,,
,,,,,3285,10.191675,18,,,,,,,,
,,,,,3300,15.871514,15,,,,,,,,
,,,,,3320,19.730587,20,,,,,,,,
,,,,,3331,6.679836,11,,,,,,,,
,,,,,3348,10.33938,17,,,,,,,,
,,,,,3371,14.29191,23,,,,,,,,
,,,,,3387,9.386844,16,,,,,,,,
,,,,,3400,7.1969714,13,,,,,,,,
,,,,,3418,15.304918,18,,,,,,,,
,,,,,3434,15.410571,16,,,,,,,,
,,,,,3457,28.08243,23,,,,,,,,
,,,,,3474,16.347012,17,,,,,,,,
,,,,,3507,30.585821,33,,,,,,,,
,,,,,3524,14.0759945,17,,,,,,,,
,,,,,3535,8.3616905,11,,,,,,,,
,,,,,3547,10.238657,12,,,,,,,,
,,,,,3567,10.173572,20,,,,,,,,
,,,,,3583,9.212289,16,,,,,,,,
,,,,,3596,10.42676,13,,,,,,,,
,,,,,3655,81.207405,59,,,,,,,,
,,,,,3677,14.965361,22,,,,,,,,
,,,,,3694,14.8793,17,,,,,,,,
,,,,,3709,12.887842,15,,,,,,,,
,,,,,3729,10.395314,20,,,,,,,,
,,,,,3744,9.324999,15,,,,,,,,
,,,,,3756,7.0538845,12,,,,,,,,
,,,,,3773,16.334759,17,,,,,,,,
,,,,,3800,28.24707,27,,,,,,,,
,,,,,3822,12.560675,22,,,,,,,,
,,,,,3841,13.110092,19,,,,,,,,
,,,,,3854,10.198343,13,,,,,,,,
,,,,,3881,24.07173,27,,,,,,,,
,,,,,3910,29.306683,29,,,,,,,,
,,,,,3930,15.468858,20,,,,,,,,
,,,,,3946,10.400314,16,,,,,,,,
,,,,,3962,9.159212,16,,,,,,,,
,,,,,3980,11.567954,18,,,,,,,,
,,,,,3993,9.350837,13,,,,,,,,
,,,,,4017,16.008064,24,,,,,,,,
,,,,,4033,14.356321,16,,,,,,,,
,,,,,4048,11.624719,15,,,,,,,,
,,,,,4057,7.614621,9,,,,,,,,
,,,,,4070,8.456208,13,,,,,,,,
,,,,,4081,8.393985,11,,,,,,,,
