"Step","seed_42_20260128_220400 - train/loss","seed_42_20260128_220400 - train/loss__MIN","seed_42_20260128_220400 - train/loss__MAX","seed_42_20260128_192934 - train/loss","seed_42_20260128_192934 - train/loss__MIN","seed_42_20260128_192934 - train/loss__MAX","seed_42_20260128_141630 - train/loss","seed_42_20260128_141630 - train/loss__MIN","seed_42_20260128_141630 - train/loss__MAX"
"0","2.0311355590820312","2.0311355590820312","2.0311355590820312","0.9704341292381287","0.9704341292381287","0.9704341292381287","0.9884747862815857","0.9884747862815857","0.9884747862815857"
"100","0.9089511036872864","0.9089511036872864","0.9089511036872864","0.13606515526771545","0.13606515526771545","0.13606515526771545","0.1540917605161667","0.1540917605161667","0.1540917605161667"
"200","0.6482832431793213","0.6482832431793213","0.6482832431793213","0.1657734513282776","0.1657734513282776","0.1657734513282776","0.12096180021762848","0.12096180021762848","0.12096180021762848"
"300","0.5007094740867615","0.5007094740867615","0.5007094740867615","0.14605067670345306","0.14605067670345306","0.14605067670345306","0.1305685043334961","0.1305685043334961","0.1305685043334961"
"400","0.49521344900131226","0.49521344900131226","0.49521344900131226","0.12442505359649658","0.12442505359649658","0.12442505359649658","0.1206158846616745","0.1206158846616745","0.1206158846616745"
"500","0.4095027446746826","0.4095027446746826","0.4095027446746826","0.11105775088071823","0.11105775088071823","0.11105775088071823","0.12056592851877213","0.12056592851877213","0.12056592851877213"
"600","0.4377138018608093","0.4377138018608093","0.4377138018608093","0.10609917342662811","0.10609917342662811","0.10609917342662811","0.1147390678524971","0.1147390678524971","0.1147390678524971"
"700","0.5278974771499634","0.5278974771499634","0.5278974771499634","0.09086905419826508","0.09086905419826508","0.09086905419826508","0.10097987949848175","0.10097987949848175","0.10097987949848175"
"800","0.4945768415927887","0.4945768415927887","0.4945768415927887","0.09957627207040787","0.09957627207040787","0.09957627207040787","0.11337225139141083","0.11337225139141083","0.11337225139141083"
"900","0.3771722912788391","0.3771722912788391","0.3771722912788391","0.10153259336948395","0.10153259336948395","0.10153259336948395","0.10599872469902039","0.10599872469902039","0.10599872469902039"
"1000","0.4030323028564453","0.4030323028564453","0.4030323028564453","0.08612027764320374","0.08612027764320374","0.08612027764320374","0.08901478350162506","0.08901478350162506","0.08901478350162506"
"1100","0.361690878868103","0.361690878868103","0.361690878868103","0.08627407252788544","0.08627407252788544","0.08627407252788544","0.09588064253330231","0.09588064253330231","0.09588064253330231"
