Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,490,260.0,1970,,,,,,
,,,,,979,220.0,1962,,,,,,
,,,,,1442,270.0,1882,,,,,,
,,,,,1899,160.0,1850,,,,,,
,,,,,2397,200.0,2018,,,,,,
,,,,,2991,320.0,2402,,,,,,
,,,,,3460,240.0,1882,,,,,,
,,,,,4057,250.0,2402,,,,,,
,,,,,4569,330.0,2066,,,,,,
,,,,,5014,190.0,1786,,,,,,
,,,,,5548,270.0,2138,,,,,,
,,,,,5969,200.0,1698,,,,,,
,,,,,6443,170.0,1906,,,,,,
,,,,,6958,270.0,2066,,,,,,
,,,,,7500,290.0,2170,,,,,,
,,,,,7982,160.0,1938,,,,,,
,,,,,8523,310.0,2178,,,,,,
,,,,,8978,290.0,1834,,,,,,
,,,,,9480,190.0,2018,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10120,330.0,2562,,,,,,
,,,,,10537,210.0,1666,,,,,,
,,,,,11036,350.0,2018,,,,,,
,,,,,11524,160.0,1978,,,,,,
,,,,,12168,320.0,2594,,,,,,
,,,,,12717,280.0,2218,,,,,,
,,,,,13151,200.0,1762,,,,,,
,,,,,13680,260.0,2122,,,,,,
,,,,,14222,350.0,2178,,,,,,
,,,,,14730,230.0,2034,,,,,,
,,,,,15254,190.0,2114,,,,,,
,,,,,15863,570.0,2442,,,,,,
,,,,,16258,140.0,1602,,,,,,
,,,,,16796,360.0,2170,,,,,,
,,,,,17232,200.0,1746,,,,,,
,,,,,17677,230.0,1810,,,,,,
,,,,,18120,170.0,1786,,,,,,
,,,,,18671,300.0,2210,,,,,,
,,,,,19196,250.0,2122,,,,,,
,,,,,19683,260.0,1970,,,,,,
60.0,0.0,60.0,60.0,1930.0,20000,,,9.464156150817871,-0.007062704302370548,0.9812114238739014,1.9932206869125366,1.0,0.0001
,,,,,20237,250.0,2226,,,,,,
,,,,,20650,230.0,1650,,,,,,
,,,,,21000,,,0.18546196818351746,0.4730108380317688,0.055635031312704086,3.1507017612457275,0.9979375,0.0001
,,,,,21273,340.0,2498,,,,,,
,,,,,21726,230.0,1826,,,,,,
,,,,,22000,,,5.768210411071777,0.4962378144264221,0.6650025844573975,4.32252836227417,0.995875,0.0001
,,,,,22172,240.0,1810,,,,,,
,,,,,22580,170.0,1658,,,,,,
,,,,,23000,,,5.7893266677856445,1.0047978162765503,1.1832914352416992,7.959670543670654,0.9938125,0.0001
,,,,,23055,220.0,1914,,,,,,
,,,,,23538,280.0,1938,,,,,,
,,,,,24000,,,3.277454137802124,1.0994112491607666,0.9470572471618652,6.008433818817139,0.99175,0.0001
,,,,,24022,150.0,1938,,,,,,
,,,,,24536,180.0,2074,,,,,,
,,,,,24977,190.0,1762,,,,,,
,,,,,25000,,,3.1244280338287354,1.0386476516723633,1.1426228284835815,5.021677494049072,0.9896875,0.0001
,,,,,25477,220.0,2018,,,,,,
,,,,,25931,230.0,1826,,,,,,
,,,,,26000,,,5.507499694824219,1.3625274896621704,1.4643199443817139,12.430213928222656,0.987625,0.0001
,,,,,26390,240.0,1842,,,,,,
,,,,,27000,,,3.0833842754364014,2.429475784301758,2.185574531555176,13.264104843139648,0.9855625,0.0001
