Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-683.05865,54.80421,-610.93024,-743.68646,1000.0,-656.36584,28.906116,-605.3636,-693.69165,1000.0,-0.07091287523508072,176.27394104003906,5000,12.879499912261963,-656.36584,0
-645.4663,78.06398,-559.93414,-748.68207,1000.0,-643.9498,27.148617,-608.556,-684.05634,1000.0,-0.07647164165973663,63.79785919189453,10000,158.80075883865356,,1
-721.977,59.797794,-649.5104,-795.9609,1000.0,-693.8748,69.69006,-628.9635,-799.8027,1000.0,-0.11419486999511719,48.75579071044922,15000,168.3592357635498,,2
-647.5159,25.16026,-623.65173,-682.3048,1000.0,-688.8082,41.52529,-639.76636,-754.72736,1000.0,-0.10256103426218033,33.26618576049805,20000,182.19717025756836,,3
-687.61676,67.33999,-595.84985,-755.5487,1000.0,-662.3253,74.68909,-571.6493,-783.9918,1000.0,-0.13141371309757233,29.488374710083008,25000,192.13541078567505,,4
-653.4825,2.247289,-650.4271,-655.7678,1000.0,-689.41187,59.312878,-590.1116,-772.4724,1000.0,-0.12738348543643951,35.642494201660156,30000,202.82270050048828,,5
-730.83905,98.237114,-621.11755,-859.50146,1000.0,-655.3142,64.579765,-585.5457,-758.6013,1000.0,-0.08090527355670929,29.87884521484375,35000,217.56520891189575,,6
-714.4256,47.77286,-665.97943,-779.4298,1000.0,-655.2588,50.97192,-604.7238,-733.2889,1000.0,-0.12686222791671753,24.838390350341797,40000,227.8800756931305,,7
-699.85675,36.663425,-660.4353,-748.7355,1000.0,-682.2213,33.455803,-637.32434,-722.9047,1000.0,-0.01868940331041813,95.20510864257812,45000,237.3883397579193,,8
-624.13007,7.320788,-616.0409,-633.7706,1000.0,-708.6095,51.538425,-646.42975,-782.5823,1000.0,-0.06555988639593124,61.3974609375,50000,251.45854306221008,,9
-595.1341,42.339016,-536.5386,-635.1001,1000.0,-675.4927,53.472813,-596.61475,-757.63184,1000.0,-0.10749609023332596,23.175222396850586,55000,261.3738970756531,,10
-610.36115,55.95695,-550.1451,-684.9359,1000.0,-636.4154,39.645035,-564.2845,-672.4287,1000.0,-0.12433592230081558,26.905467987060547,60000,404.7010712623596,,11
-581.4544,13.2315445,-566.21826,-598.4802,1000.0,-627.4253,61.450363,-549.00507,-690.2064,1000.0,-0.06726723164319992,31.493799209594727,65000,414.9124917984009,,12
-534.9317,15.757074,-518.29565,-556.0895,1000.0,-622.8422,59.02951,-532.0194,-716.9719,1000.0,-0.05790424719452858,34.907501220703125,70000,428.8619475364685,,13
-516.5441,47.47128,-462.1308,-577.8048,1000.0,-626.9493,49.68153,-570.208,-717.2588,1000.0,-0.0872802734375,31.658315658569336,75000,438.61492228507996,,14
-562.4642,15.480588,-542.1553,-579.69916,1000.0,-568.2247,42.98777,-519.1322,-623.2185,1000.0,-0.0738329365849495,23.511215209960938,80000,449.64542627334595,,15
-552.2023,52.197735,-481.00592,-604.6887,1000.0,-562.751,37.739273,-532.38153,-636.6786,1000.0,-0.10604231804609299,24.172027587890625,85000,462.76768684387207,,16
-507.6952,48.717518,-463.82483,-575.6373,1000.0,-555.9969,27.915323,-502.1731,-581.0482,1000.0,-0.11076115071773529,30.93541145324707,90000,473.15455055236816,,17
-456.0879,88.23367,-352.27252,-567.95013,1000.0,-500.5462,49.359272,-422.05652,-544.0645,1000.0,-0.10703524947166443,18.672365188598633,95000,483.14342308044434,,18
-500.2877,28.525469,-460.18073,-524.1,1000.0,-485.74774,55.697765,-380.6267,-533.9088,1000.0,-0.13267028331756592,20.020517349243164,100000,497.84534668922424,,19
-501.9669,28.34875,-475.1646,-541.18866,1000.0,-514.21295,28.127289,-484.87048,-565.00195,1000.0,-0.10651475191116333,17.888147354125977,105000,508.5064175128937,,20
-494.13058,24.750526,-470.12723,-528.19495,1000.0,-450.60883,50.66883,-396.98553,-528.7871,1000.0,-0.10311438888311386,16.581995010375977,110000,654.6481914520264,,21
-410.19174,22.849226,-388.86945,-441.88025,1000.0,-463.5312,54.475624,-377.36273,-528.53033,1000.0,-0.057396166026592255,21.976856231689453,115000,665.8190121650696,,22
