Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-701.10956,252.80605,-493.68738,-1342.6217,98.7,0,,,,,,,,
,,,,,84,-132.79175,85,,,,,,
,,,,,198,-380.03314,114,,,,,,
,,,,,284,-66.48581,86,,,,,,
,,,,,366,-174.10683,82,,,,,,
,,,,,489,-128.8428,123,,,,,,
,,,,,551,-113.736725,62,,,,,,
,,,,,643,-107.06553,92,,,,,,
,,,,,719,-101.763115,76,,,,,,
,,,,,836,-123.79128,117,,,,,,
,,,,,903,-115.29646,67,,,,,,
,,,,,1017,-306.29797,114,,,,,,
,,,,,1079,-134.25232,62,,,,,,
,,,,,1180,-260.76642,101,,,,,,
,,,,,1245,-167.12509,65,,,,,,
,,,,,1308,-91.09314,63,,,,,,
,,,,,1375,-135.35358,67,,,,,,
,,,,,1447,-65.66133,72,,,,,,
,,,,,1520,-99.1005,73,,,,,,
,,,,,1665,9.957939,145,,,,,,
,,,,,1733,-62.494377,68,,,,,,
,,,,,1805,-88.075806,72,,,,,,
,,,,,1886,-119.8793,81,,,,,,
,,,,,1973,-226.98862,87,,,,,,
,,,,,2082,-96.44259,109,,,,,,
,,,,,2141,-146.25378,59,,,,,,
,,,,,2218,-167.84402,77,,,,,,
,,,,,2339,-232.86687,121,,,,,,
,,,,,2409,-82.88275,70,,,,,,
,,,,,2486,-217.03452,77,,,,,,
,,,,,2585,-157.801,99,,,,,,
,,,,,2718,-121.52414,133,,,,,,
,,,,,2785,-111.92535,67,,,,,,
,,,,,2894,-301.9955,109,,,,,,
,,,,,2981,-109.807816,87,,,,,,
,,,,,3063,-437.13483,82,,,,,,
,,,,,3160,-129.54619,97,,,,,,
,,,,,3230,-98.693954,70,,,,,,
,,,,,3336,-139.02895,106,,,,,,
,,,,,3437,-304.19055,101,,,,,,
,,,,,3506,-244.0911,69,,,,,,
,,,,,3629,-128.42596,123,,,,,,
,,,,,3707,-382.33243,78,,,,,,
,,,,,3774,-84.16344,67,,,,,,
,,,,,3856,-97.421745,82,,,,,,
,,,,,3962,-352.91418,106,,,,,,
,,,,,4105,-70.800354,143,,,,,,
,,,,,4198,-463.59506,93,,,,,,
,,,,,4265,-192.0762,67,,,,,,
,,,,,4366,-360.28595,101,,,,,,
,,,,,4434,-112.06376,68,,,,,,
,,,,,4533,-193.01617,99,,,,,,
,,,,,4621,-298.81067,88,,,,,,
,,,,,4730,-216.33542,109,,,,,,
,,,,,4839,-139.79074,109,,,,,,
,,,,,4961,-127.725235,122,,,,,,
,,,,,5068,-215.59532,107,,,,,,
,,,,,5170,-210.06824,102,,,,,,
,,,,,5244,-21.050217,74,,,,,,
,,,,,5309,-60.480576,65,,,,,,
,,,,,5414,-434.78128,105,,,,,,
,,,,,5503,-115.748566,89,,,,,,
,,,,,5588,-135.35587,85,,,,,,
,,,,,5656,-246.33841,68,,,,,,
,,,,,5748,-84.19019,92,,,,,,
,,,,,5809,-103.20163,61,,,,,,
,,,,,5891,-204.55557,82,,,,,,
,,,,,5959,-310.5323,68,,,,,,
,,,,,6021,-73.231346,62,,,,,,
,,,,,6097,-75.829575,76,,,,,,
,,,,,6219,-352.5271,122,,,,,,
,,,,,6330,-240.30182,111,,,,,,
,,,,,6396,-147.23958,66,,,,,,
,,,,,6459,-171.15515,63,,,,,,
,,,,,6523,-329.60895,64,,,,,,
,,,,,6607,-356.027,84,,,,,,
,,,,,6704,-325.28864,97,,,,,,
,,,,,6849,-160.29626,145,,,,,,
,,,,,6980,-250.50742,131,,,,,,
,,,,,7055,-477.29324,75,,,,,,
,,,,,7165,-142.03883,110,,,,,,
,,,,,7245,-99.02676,80,,,,,,
,,,,,7326,-422.69153,81,,,,,,
,,,,,7400,-256.76364,74,,,,,,
,,,,,7509,-354.82928,109,,,,,,
,,,,,7580,-300.10147,71,,,,,,
,,,,,7640,-103.248795,60,,,,,,
,,,,,7708,-74.33853,68,,,,,,
,,,,,7791,-87.89191,83,,,,,,
,,,,,7863,-72.1977,72,,,,,,
,,,,,8010,-152.63095,147,,,,,,
,,,,,8099,-21.45073,89,,,,,,
,,,,,8182,-221.83282,83,,,,,,
,,,,,8259,-88.979454,77,,,,,,
,,,,,8386,-331.95657,127,,,,,,
,,,,,8455,-127.80638,69,,,,,,
,,,,,8518,-126.047585,63,,,,,,
,,,,,8600,-279.7578,82,,,,,,
,,,,,8689,-331.722,89,,,,,,
,,,,,8796,-91.833954,107,,,,,,
,,,,,8885,-151.02272,89,,,,,,
,,,,,8972,-180.53021,87,,,,,,
,,,,,9062,-75.81865,90,,,,,,
,,,,,9173,-367.39435,111,,,,,,
,,,,,9239,-77.66028,66,,,,,,
,,,,,9309,-346.1714,70,,,,,,
,,,,,9416,-199.84525,107,,,,,,
,,,,,9485,-84.85174,69,,,,,,
,,,,,9550,15.550568,65,,,,,,
,,,,,9625,-173.91533,75,,,,,,
,,,,,9734,-107.554985,109,,,,,,
,,,,,9851,-148.1478,117,,,,,,
,,,,,9929,-368.7198,78,,,,,,
-927.75977,255.88084,-491.31268,-1347.663,116.6,10000,,,,,,,,
,,,,,10093,-327.93866,164,,,,,,
,,,,,10205,-470.7499,112,,,,,,
,,,,,10301,-239.06616,96,,,,,,
,,,,,10370,-145.66641,69,,,,,,
,,,,,10452,-273.78262,82,,,,,,
,,,,,10545,-125.000694,93,,,,,,
,,,,,10652,14.486382,107,,,,,,
,,,,,10800,-302.75842,148,,,,,,
,,,,,10869,-331.02502,69,,,,,,
,,,,,10955,-266.22186,86,,,,,,
,,,,,11037,-139.22627,82,,,,,,
,,,,,11154,-266.27066,117,,,,,,
,,,,,11270,-157.62854,116,,,,,,
,,,,,11395,-302.988,125,,,,,,
,,,,,11493,-128.456,98,,,,,,
,,,,,11602,-361.5694,109,,,,,,
,,,,,11759,-273.00073,157,,,,,,
,,,,,11889,-183.3815,130,,,,,,
,,,,,11977,-309.98517,88,,,,,,
,,,,,12065,-157.99251,88,,,,,,
,,,,,12142,-115.9523,77,,,,,,
,,,,,12229,-337.48267,87,,,,,,
,,,,,12329,-299.882,100,,,,,,
,,,,,12427,-278.20425,98,,,,,,
,,,,,12506,-141.0628,79,,,,,,
,,,,,12597,-105.0724,91,,,,,,
,,,,,12705,-268.07843,108,,,,,,
,,,,,12805,-260.62964,100,,,,,,
,,,,,12871,-63.947456,66,,,,,,
,,,,,12958,-460.10938,87,,,,,,
,,,,,13067,-93.25313,109,,,,,,
,,,,,13154,-380.86594,87,,,,,,
,,,,,13219,-115.776184,65,,,,,,
,,,,,13325,-421.24814,106,,,,,,
,,,,,13438,-141.5282,113,,,,,,
,,,,,13547,-88.8753,109,,,,,,
,,,,,13630,-207.04774,83,,,,,,
,,,,,13753,-279.79846,123,,,,,,
,,,,,13832,-327.56165,79,,,,,,
,,,,,13983,-245.21251,151,,,,,,
